Entity,Year,Code,co2_per_capita,renewables_energy_per_capita,renewables_share_energy
Africa,1965,,0.667,120.328,5.419
Africa,1966,,0.673,130.852,5.772
Africa,1967,,0.703,133.118,5.964
Africa,1968,,0.743,151.691,6.605
Africa,1969,,0.781,172.432,7.506
Africa,1970,,0.829,209.96,8.65
Africa,1971,,0.885,193.89,7.689
Africa,1972,,0.914,214.969,8.276
Africa,1973,,0.956,221.318,8.069
Africa,1974,,0.955,244.85,8.736
Africa,1975,,0.926,251.676,8.713
Africa,1976,,0.976,271.042,8.906
Africa,1977,,0.979,289.546,9.281
Africa,1978,,1.016,283.707,9.005
Africa,1979,,1.064,294.778,8.84
Africa,1980,,1.111,279.155,8.006
Africa,1981,,1.104,281.552,7.405
Africa,1982,,1.116,273.315,6.945
Africa,1983,,1.127,239.299,6.091
Africa,1984,,1.195,228.671,5.818
Africa,1985,,1.191,246.935,6.218
Africa,1986,,1.198,250.24,6.357
Africa,1987,,1.164,233.419,5.899
Africa,1988,,1.19,247.506,6.009
Africa,1989,,1.114,252.652,6.296
Africa,1990,,1.02,250.955,6.215
Africa,1991,,1.036,258.725,6.593
Africa,1992,,0.98,240.792,6.208
Africa,1993,,1.013,230.288,6.076
Africa,1994,,1.106,227.641,5.959
Africa,1995,,1.151,230.934,5.961
Africa,1996,,1.16,235.579,6.08
Africa,1997,,1.16,235.849,6.112
Africa,1998,,1.155,241.223,6.318
Africa,1999,,1.11,249.041,6.49
Africa,2000,,1.119,261.025,6.813
Africa,2001,,1.079,272.444,7.024
Africa,2002,,1.028,277.121,7.236
Africa,2003,,1.105,262.841,6.731
Africa,2004,,1.137,270.56,6.535
Africa,2005,,1.122,265.863,6.644
Africa,2006,,1.124,269.487,6.759
Africa,2007,,1.124,268.945,6.676
Africa,2008,,1.147,265.627,6.376
Africa,2009,,1.113,265.55,6.455
Africa,2010,,1.136,278.998,6.736
Africa,2011,,1.151,279.547,6.819
Africa,2012,,1.121,273.775,6.554
Africa,2013,,1.107,281.557,6.703
Africa,2014,,1.146,295.867,6.997
Africa,2015,,1.096,296.042,7.023
Africa,2016,,1.094,291.441,6.933
Africa,2017,,1.075,303.479,7.179
Africa,2018,,1.059,318.175,7.599
Africa,2019,,1.082,329.033,7.841
Africa,2020,,0.993,344.051,8.82
Africa,2021,,1.045,360.171,8.715
Africa,2022,,1.01,365.408,8.92
Africa,2023,,1.002,374.605,9.215
Africa,2024,,0.993,377.194,9.354
Algeria,1965,DZA,0.533,89.852,4.487
Algeria,1966,DZA,0.669,78.325,3.313
Algeria,1967,DZA,0.655,88.45,4.042
Algeria,1968,DZA,0.687,118.723,5.171
Algeria,1969,DZA,0.836,74.412,2.996
Algeria,1970,DZA,1.093,116.885,4.395
Algeria,1971,DZA,1.322,65.017,2.311
Algeria,1972,DZA,1.962,95.307,3.086
Algeria,1973,DZA,2.59,141.417,3.933
Algeria,1974,DZA,2.104,91.225,2.347
Algeria,1975,DZA,2.039,58.112,1.296
Algeria,1976,DZA,2.381,65.851,1.317
Algeria,1977,DZA,2.454,43.913,0.829
Algeria,1978,DZA,3.559,39.667,0.613
Algeria,1979,DZA,2.512,44.816,0.544
Algeria,1980,DZA,3.554,38.366,0.403
Algeria,1981,DZA,2.393,52.894,0.473
Algeria,1982,DZA,1.953,66.955,0.536
Algeria,1983,DZA,2.533,31.753,0.241
Algeria,1984,DZA,3.31,59.024,0.483
Algeria,1985,DZA,3.271,81.534,0.684
Algeria,1986,DZA,3.314,30.531,0.25
Algeria,1987,DZA,3.541,59.125,0.486
Algeria,1988,DZA,3.436,21.084,0.166
Algeria,1989,DZA,3.189,25.36,0.211
Algeria,1990,DZA,2.991,14.778,0.119
Algeria,1991,DZA,3.0,31.318,0.261
Algeria,1992,DZA,2.977,20.759,0.173
Algeria,1993,DZA,2.981,35.948,0.329
Algeria,1994,DZA,3.15,16.535,0.153
Algeria,1995,DZA,3.369,18.831,0.171
Algeria,1996,DZA,3.429,12.916,0.121
Algeria,1997,DZA,2.959,7.043,0.07
Algeria,1998,DZA,3.518,19.872,0.194
Algeria,1999,DZA,2.973,18.504,0.181
Algeria,2000,DZA,2.736,4.854,0.05
Algeria,2001,DZA,2.745,6.084,0.061
Algeria,2002,DZA,2.824,4.918,0.049
Algeria,2003,DZA,2.924,22.441,0.214
Algeria,2004,DZA,2.784,20.847,0.194
Algeria,2005,DZA,3.309,45.085,0.408
Algeria,2006,DZA,3.087,17.304,0.153
Algeria,2007,DZA,3.146,17.58,0.15
Algeria,2008,DZA,3.119,21.446,0.176
Algeria,2009,DZA,3.278,25.292,0.2
Algeria,2010,DZA,3.257,13.104,0.108
Algeria,2011,DZA,3.38,27.808,0.221
Algeria,2012,DZA,3.602,28.461,0.211
Algeria,2013,DZA,3.684,8.495,0.061
Algeria,2014,DZA,3.888,16.485,0.11
Algeria,2015,DZA,4.006,14.044,0.091
Algeria,2016,DZA,3.875,20.669,0.137
Algeria,2017,DZA,3.964,34.721,0.232
Algeria,2018,DZA,4.104,42.722,0.271
Algeria,2019,DZA,4.214,44.423,0.277
Algeria,2020,DZA,3.886,41.616,0.283
Algeria,2021,DZA,4.067,37.627,0.238
Algeria,2022,DZA,4.239,36.792,0.228
