Entity,Code,Day,Monthly average
United States,USA,1941-12-15,-1.8780192
United States,USA,1942-01-15,-4.7765512
United States,USA,1942-02-15,-3.870868
United States,USA,1942-03-15,0.09781124
United States,USA,1942-04-15,7.537291
United States,USA,1942-05-15,12.064384
United States,USA,1942-06-15,17.752876
United States,USA,1942-07-15,21.090374
United States,USA,1942-08-15,20.071842
United States,USA,1942-09-15,15.843611
United States,USA,1942-10-15,10.025621
United States,USA,1942-11-15,2.1565475
United States,USA,1942-12-15,-3.8051353
United States,USA,1943-01-15,-5.5162487
United States,USA,1943-02-15,-1.4559234
United States,USA,1943-03-15,0.18109943
United States,USA,1943-04-15,7.638229
United States,USA,1943-05-15,12.697808
United States,USA,1943-06-15,18.524704
United States,USA,1943-07-15,21.399345
United States,USA,1943-08-15,20.988422
United States,USA,1943-09-15,15.991072
United States,USA,1943-10-15,9.70106
United States,USA,1943-11-15,2.73866
United States,USA,1943-12-15,-2.343035
United States,USA,1944-01-15,-3.0355563
United States,USA,1944-02-15,-1.3499693
United States,USA,1944-03-15,0.30301216
United States,USA,1944-04-15,5.960942
United States,USA,1944-05-15,13.581206
United States,USA,1944-06-15,18.230541
United States,USA,1944-07-15,21.054283
United States,USA,1944-08-15,20.656504
United States,USA,1944-09-15,16.381725
United States,USA,1944-10-15,10.5691595
United States,USA,1944-11-15,2.5061104
United States,USA,1944-12-15,-2.9705637
United States,USA,1945-01-15,-3.2741895
United States,USA,1945-02-15,-1.6930252
United States,USA,1945-03-15,2.8489718
United States,USA,1945-04-15,6.470728
United States,USA,1945-05-15,11.649972
United States,USA,1945-06-15,16.609838
United States,USA,1945-07-15,20.62582
United States,USA,1945-08-15,20.102177
United States,USA,1945-09-15,16.32341
United States,USA,1945-10-15,9.630338
United States,USA,1945-11-15,1.9024572
United States,USA,1945-12-15,-4.1151595
United States,USA,1946-01-15,-3.8114665
United States,USA,1946-02-15,-2.8158112
United States,USA,1946-03-15,3.0640843
United States,USA,1946-04-15,8.629574
United States,USA,1946-05-15,12.317109
United States,USA,1946-06-15,18.24636
United States,USA,1946-07-15,21.436398
United States,USA,1946-08-15,19.945992
United States,USA,1946-09-15,15.736174
United States,USA,1946-10-15,9.135482
United States,USA,1946-11-15,1.4309314
United States,USA,1946-12-15,-2.7633698
United States,USA,1947-01-15,-5.1496215
United States,USA,1947-02-15,-4.096246
United States,USA,1947-03-15,-0.13793792
United States,USA,1947-04-15,6.7995696
United States,USA,1947-05-15,12.823443
United States,USA,1947-06-15,16.979933
United States,USA,1947-07-15,20.687315
United States,USA,1947-08-15,20.92429
United States,USA,1947-09-15,16.690544
United States,USA,1947-10-15,11.350605
United States,USA,1947-11-15,0.5695572
United States,USA,1947-12-15,-3.219944
United States,USA,1948-01-15,-5.056073
United States,USA,1948-02-15,-3.4879422
United States,USA,1948-03-15,0.38201547
United States,USA,1948-04-15,8.678152
United States,USA,1948-05-15,13.33788
United States,USA,1948-06-15,18.786032
United States,USA,1948-07-15,21.200512
United States,USA,1948-08-15,20.282764
United States,USA,1948-09-15,16.588448
United States,USA,1948-10-15,9.2342615
United States,USA,1948-11-15,2.2078345
United States,USA,1948-12-15,-2.968598
United States,USA,1949-01-15,-5.572353
United States,USA,1949-02-15,-3.3180075
United States,USA,1949-03-15,2.6004002
United States,USA,1949-04-15,7.792224
United States,USA,1949-05-15,13.941612
United States,USA,1949-06-15,18.541214
United States,USA,1949-07-15,21.653086
United States,USA,1949-08-15,20.615675
United States,USA,1949-09-15,16.05537
United States,USA,1949-10-15,9.855518
United States,USA,1949-11-15,4.8414555
United States,USA,1949-12-15,-2.4607112
United States,USA,1950-01-15,-3.167346
United States,USA,1950-02-15,-2.1789274
United States,USA,1950-03-15,1.5623524
United States,USA,1950-04-15,6.7706327
United States,USA,1950-05-15,13.09997
United States,USA,1950-06-15,18.377213
United States,USA,1950-07-15,20.449966
United States,USA,1950-08-15,19.869936
United States,USA,1950-09-15,15.677065
United States,USA,1950-10-15,11.446566
United States,USA,1950-11-15,1.9247776
United States,USA,1950-12-15,-2.0716002
United States,USA,1951-01-15,-4.6098175
United States,USA,1951-02-15,-1.9151175
United States,USA,1951-03-15,0.094830126
United States,USA,1951-04-15,7.5987
United States,USA,1951-05-15,14.1101675
United States,USA,1951-06-15,17.903513
United States,USA,1951-07-15,21.669563
United States,USA,1951-08-15,20.558065
United States,USA,1951-09-15,16.046291
United States,USA,1951-10-15,9.50042
United States,USA,1951-11-15,1.3716067
United States,USA,1951-12-15,-3.0796416
United States,USA,1952-01-15,-3.4135358
United States,USA,1952-02-15,-1.2838657
United States,USA,1952-03-15,0.42865372
United States,USA,1952-04-15,7.8944674
United States,USA,1952-05-15,13.351726
United States,USA,1952-06-15,19.729696
United States,USA,1952-07-15,21.79747
United States,USA,1952-08-15,20.813725
United States,USA,1952-09-15,16.705416
United States,USA,1952-10-15,9.801785
United States,USA,1952-11-15,2.7352827
United States,USA,1952-12-15,-1.9393185
United States,USA,1953-01-15,-1.5676488
United States,USA,1953-02-15,-0.9766591
United States,USA,1953-03-15,2.9194632
United States,USA,1953-04-15,7.243385
United States,USA,1953-05-15,13.253283
United States,USA,1953-06-15,19.800404
United States,USA,1953-07-15,21.935173
United States,USA,1953-08-15,20.585638
United States,USA,1953-09-15,17.09749
