Entity,Year,Code,co2_per_capita,renewables_energy_per_capita,renewables_share_energy,GDP per capita,World region according to OWID
Algeria,1990,DZA,2.991,14.778,0.119,11728.546,Africa
Algeria,1991,DZA,3.0,31.318,0.261,11314.864,Africa
Algeria,1992,DZA,2.977,20.759,0.173,11241.415,Africa
Algeria,1993,DZA,2.981,35.948,0.329,10743.706,Africa
Algeria,1994,DZA,3.15,16.535,0.153,10414.035,Africa
Algeria,1995,DZA,3.369,18.831,0.171,10588.443,Africa
Algeria,1996,DZA,3.429,12.916,0.121,10808.879,Africa
Algeria,1997,DZA,2.959,7.043,0.07,10725.968,Africa
Algeria,1998,DZA,3.518,19.872,0.194,11094.888,Africa
Algeria,1999,DZA,2.973,18.504,0.181,11292.037,Africa
Algeria,2000,DZA,2.736,4.854,0.05,11558.221,Africa
Algeria,2001,DZA,2.745,6.084,0.061,11742.595,Africa
Algeria,2002,DZA,2.824,4.918,0.049,12213.126,Africa
Algeria,2003,DZA,2.924,22.441,0.214,12835.182,Africa
Algeria,2004,DZA,2.784,20.847,0.194,13226.765,Africa
Algeria,2005,DZA,3.309,45.085,0.408,13738.496,Africa
Algeria,2006,DZA,3.087,17.304,0.153,13920.694,Africa
Algeria,2007,DZA,3.146,17.58,0.15,14114.675,Africa
Algeria,2008,DZA,3.119,21.446,0.176,14206.776,Africa
Algeria,2009,DZA,3.278,25.292,0.2,14104.428,Africa
Algeria,2010,DZA,3.257,13.104,0.108,14496.421,Africa
Algeria,2011,DZA,3.38,27.808,0.221,14641.964,Africa
Algeria,2012,DZA,3.602,28.461,0.211,14697.54,Africa
Algeria,2013,DZA,3.684,8.495,0.061,14778.191,Africa
Algeria,2014,DZA,3.888,16.485,0.11,15073.763,Africa
Algeria,2015,DZA,4.006,14.044,0.091,15239.518,Africa
Algeria,2016,DZA,3.875,20.669,0.137,15511.686,Africa
Algeria,2017,DZA,3.964,34.721,0.232,15427.664,Africa
Algeria,2018,DZA,4.104,42.722,0.271,15343.426,Africa
Algeria,2019,DZA,4.214,44.423,0.277,15199.199,Africa
Algeria,2020,DZA,3.886,41.616,0.283,14194.155,Africa
