Entity,Code,Year,GDP per capita,World region according to OWID,renewables_energy_per_capita,renewables_share_energy
Algeria,DZA,1990,11728.546,Africa,14.778,0.119
Algeria,DZA,1991,11314.864,Africa,31.318,0.261
Algeria,DZA,1992,11241.415,Africa,20.759,0.173
Algeria,DZA,1993,10743.706,Africa,35.948,0.329
Algeria,DZA,1994,10414.035,Africa,16.535,0.153
Algeria,DZA,1995,10588.443,Africa,18.831,0.171
Algeria,DZA,1996,10808.879,Africa,12.916,0.121
Algeria,DZA,1997,10725.968,Africa,7.043,0.07
Algeria,DZA,1998,11094.888,Africa,19.872,0.194
Algeria,DZA,1999,11292.037,Africa,18.504,0.181
Algeria,DZA,2000,11558.221,Africa,4.854,0.05
Algeria,DZA,2001,11742.595,Africa,6.084,0.061
Algeria,DZA,2002,12213.126,Africa,4.918,0.049
Algeria,DZA,2003,12835.182,Africa,22.441,0.214
Algeria,DZA,2004,13226.765,Africa,20.847,0.194
Algeria,DZA,2005,13738.496,Africa,45.085,0.408
Algeria,DZA,2006,13920.694,Africa,17.304,0.153
Algeria,DZA,2007,14114.675,Africa,17.58,0.15
Algeria,DZA,2008,14206.776,Africa,21.446,0.176
Algeria,DZA,2009,14104.428,Africa,25.292,0.2
Algeria,DZA,2010,14496.421,Africa,13.104,0.108
Algeria,DZA,2011,14641.964,Africa,27.808,0.221
Algeria,DZA,2012,14697.54,Africa,28.461,0.211
Algeria,DZA,2013,14778.191,Africa,8.495,0.061
Algeria,DZA,2014,15073.763,Africa,16.485,0.11
Algeria,DZA,2015,15239.518,Africa,14.044,0.091
Algeria,DZA,2016,15511.686,Africa,20.669,0.137
Algeria,DZA,2017,15427.664,Africa,34.721,0.232
Algeria,DZA,2018,15343.426,Africa,42.722,0.271
Algeria,DZA,2019,15199.199,Africa,44.423,0.277
Algeria,DZA,2020,14194.155,Africa,41.616,0.283
Algeria,DZA,2021,14496.865,Africa,37.627,0.238
Algeria,DZA,2022,14782.2,Africa,36.792,0.228
Algeria,DZA,2023,15159.324,Africa,38.516,0.227
Algeria,DZA,2024,15501.92,Africa,39.236,0.242
Argentina,ARG,1990,17007.285,South America,1514.809,9.729
Argentina,ARG,1991,18295.61,South America,1338.858,8.57
Argentina,ARG,1992,19476.283,South America,1592.073,9.64
Argentina,ARG,1993,20791.346,South America,1941.955,11.552
Argentina,ARG,1994,21711.844,South America,2198.729,12.563
Argentina,ARG,1995,20819.5,South America,2109.872,11.83
Argentina,ARG,1996,21695.596,South America,1778.042,9.646
Argentina,ARG,1997,23172.158,South America,2174.478,11.781
Argentina,ARG,1998,23783.102,South America,2042.183,10.78
Argentina,ARG,1999,22714.512,South America,1640.209,8.606
Argentina,ARG,2000,22281.38,South America,2167.966,11.557
Argentina,ARG,2001,21066.459,South America,2719.51,15.036
Argentina,ARG,2002,18571.701,South America,2626.436,15.335
Argentina,ARG,2003,20005.139,South America,2474.063,13.613
Argentina,ARG,2004,21591.45,South America,2201.711,11.465
Argentina,ARG,2005,23262.408,South America,2423.348,12.032
Argentina,ARG,2006,24877.25,South America,2652.587,12.678
Argentina,ARG,2007,26850.664,South America,2162.664,10.024
Argentina,ARG,2008,27658.484,South America,2132.41,9.872
Argentina,ARG,2009,25747.197,South America,2317.319,11.193
Argentina,ARG,2010,28056.258,South America,2353.397,11.092
Argentina,ARG,2011,29425.76,South America,2249.753,10.412
Argentina,ARG,2012,28825.967,South America,2160.214,9.701
Argentina,ARG,2013,29227.66,South America,2387.985,10.134
Argentina,ARG,2014,28200.814,South America,2385.344,10.396
Argentina,ARG,2015,28669.207,South America,2373.331,10.275
Argentina,ARG,2016,27802.105,South America,2184.091,9.586
Argentina,ARG,2017,28334.904,South America,2338.09,10.445
Argentina,ARG,2018,27367.115,South America,2376.033,10.824
Argentina,ARG,2019,26629.553,South America,2334.881,11.417
Argentina,ARG,2020,23877.094,South America,2246.39,11.833
Argentina,ARG,2021,26300.273,South America,2276.367,10.947
Argentina,ARG,2022,27825.027,South America,2630.946,12.01
Argentina,ARG,2023,27230.396,South America,3083.319,14.1
Argentina,ARG,2024,26771.965,South America,3158.544,14.803
Australia,AUS,1990,36267.742,Oceania,2532.481,4.137
Australia,AUS,1991,35670.668,Oceania,2636.145,4.394
Australia,AUS,1992,35426.285,Oceania,2644.512,4.389
Australia,AUS,1993,36533.15,Oceania,2689.136,4.407
Australia,AUS,1994,37622.652,Oceania,2631.734,4.196
Australia,AUS,1995,38653.336,Oceania,2546.364,4.002
Australia,AUS,1996,39663.16,Oceania,2589.703,4.0
Australia,AUS,1997,40773.566,Oceania,2568.729,3.914
Australia,AUS,1998,42257.17,Oceania,2535.081,3.813
Australia,AUS,1999,43899.074,Oceania,2591.266,3.786
Australia,AUS,2000,45099.074,Oceania,2562.243,3.765
Australia,AUS,2001,45428.2,Oceania,2477.333,3.655
Australia,AUS,2002,46688.395,Oceania,2535.098,3.711
Australia,AUS,2003,47581.23,Oceania,2600.875,3.797
Australia,AUS,2004,49061.277,Oceania,2676.806,3.829
Australia,AUS,2005,49997.066,Oceania,2839.375,4.095
Australia,AUS,2006,50693.727,Oceania,2867.825,4.024
Australia,AUS,2007,51663.242,Oceania,2716.251,3.786
Australia,AUS,2008,52473.383,Oceania,2503.279,3.499
Australia,AUS,2009,52407.91,Oceania,2574.128,3.722
Australia,AUS,2010,52739.27,Oceania,2778.986,4.088
Australia,AUS,2011,53257.047,Oceania,3726.721,5.392
Australia,AUS,2012,54403.883,Oceania,3618.664,5.4
Australia,AUS,2013,54895.004,Oceania,4117.444,6.173
Australia,AUS,2014,55489.07,Oceania,3747.245,5.663
Australia,AUS,2015,55879.996,Oceania,3969.371,5.955
Australia,AUS,2016,56529.953,Oceania,4463.105,6.785
Australia,AUS,2017,56881.855,Oceania,4113.181,6.373
