Entity,Day,Annual average,Monthly average
Hawaii,1988-10-31,,8.1097
Hawaii,1988-12-02,,8.1092
Hawaii,1989-01-08,,8.1168
Hawaii,1989-02-26,,8.1316
Hawaii,1989-03-27,,8.1218
Hawaii,1989-05-18,,8.1158
Hawaii,1989-06-24,,8.1018
Hawaii,1989-07-29,,8.0991
Hawaii,1989-08-24,,8.093
Hawaii,1989-09-22,,8.099
Hawaii,1989-10-18,,8.0858
Hawaii,1989-11-27,8.109064,8.1101
Hawaii,1990-01-05,8.110091,8.1332
Hawaii,1990-02-15,8.110729,8.1229
Hawaii,1990-03-19,8.110727,8.134
Hawaii,1990-04-13,8.11119,8.1229
Hawaii,1990-05-09,8.11129,8.1167
Hawaii,1990-06-13,8.112049,8.1232
Hawaii,1990-07-25,8.1136875,8.1084
Hawaii,1990-09-14,8.113765,8.085
Hawaii,1990-12-18,8.114453,8.1212
Hawaii,1991-02-03,8.113746,8.1256
Hawaii,1991-03-07,8.113769,8.1263
Hawaii,1991-04-10,8.113269,8.1231
Hawaii,1991-05-08,8.113147,8.1144
Hawaii,1991-06-05,8.112759,8.1139
Hawaii,1991-07-10,8.112152,8.112
Hawaii,1991-08-10,8.111966,8.0992
Hawaii,1991-09-18,8.112456,8.0943
Hawaii,1991-10-21,8.112751,8.0981
Hawaii,1991-12-07,8.111833,8.104
Hawaii,1992-01-05,8.111043,8.1177
Hawaii,1992-02-15,8.110709,8.1256
Hawaii,1992-03-06,8.110493,8.119
Hawaii,1992-04-17,8.10937,8.1099
Hawaii,1992-06-09,8.108976,8.1152
Hawaii,1992-07-05,8.108494,8.0977
Hawaii,1992-08-05,8.107614,8.0956
Hawaii,1992-09-23,8.107308,8.0933
Hawaii,1992-10-20,8.106822,8.087
Hawaii,1992-11-24,8.106439,8.1052
Hawaii,1992-12-16,8.106806,8.1161
Hawaii,1993-01-20,8.107729,8.1349
Hawaii,1993-02-17,8.108511,8.1325
Hawaii,1993-04-15,8.108989,8.1074
Hawaii,1993-05-21,8.108736,8.1105
Hawaii,1993-09-15,8.106916,8.0802
Hawaii,1993-10-30,8.1065035,8.094
Hawaii,1994-01-20,8.108557,8.1508
Hawaii,1994-02-17,8.109272,8.1357
Hawaii,1994-03-09,8.109261,8.1204
Hawaii,1994-06-19,8.109413,8.1021
Hawaii,1994-07-25,8.108972,8.0858
Hawaii,1994-08-30,8.108795,8.0883
Hawaii,1994-09-23,8.109185,8.0875
Hawaii,1994-10-15,8.10928,8.088
Hawaii,1994-11-19,8.109223,8.1048
Hawaii,1995-02-06,8.103641,8.1099
Hawaii,1995-03-04,8.10224,8.1171
Hawaii,1995-04-06,8.1015,8.1038
Hawaii,1995-05-07,8.101247,8.1149
Hawaii,1995-07-30,8.102327,8.0937
Hawaii,1995-08-29,8.102842,8.0933
Hawaii,1995-09-26,8.103073,8.0886
Hawaii,1995-10-27,8.1035185,8.0997
Hawaii,1995-11-17,8.103972,8.1135
Hawaii,1996-01-17,8.104596,8.1074
Hawaii,1996-03-27,8.104209,8.1122
Hawaii,1996-04-24,8.104404,8.1066
Hawaii,1996-05-22,8.10345,8.0946
Hawaii,1996-06-26,8.102109,8.0902
Hawaii,1996-07-27,8.101391,8.0889
Hawaii,1996-08-21,8.100858,8.0829
Hawaii,1996-10-02,8.099951,8.0836
Hawaii,1996-10-30,8.099318,8.0924
Hawaii,1996-12-11,8.0977545,8.1014
Hawaii,1997-01-08,8.097479,8.1102
Hawaii,1997-02-18,8.096265,8.0856
Hawaii,1997-03-12,8.095655,8.1138
Hawaii,1997-04-09,8.095915,8.1155
Hawaii,1997-05-07,8.096071,8.101
Hawaii,1997-06-04,8.096661,8.1058
Hawaii,1997-07-09,8.097283,8.0895
Hawaii,1997-08-02,8.097302,8.089
Hawaii,1997-09-25,8.097424,8.0805
Hawaii,1997-12-05,8.097955,8.1083
Hawaii,1998-01-11,8.098324,8.1097
Hawaii,1998-02-19,8.099948,8.1135
Hawaii,1998-03-18,8.10031,8.1044
Hawaii,1998-04-15,8.099662,8.1078
Hawaii,1998-05-13,8.099735,8.105
Hawaii,1998-06-17,8.099325,8.0937
Hawaii,1998-07-15,8.09883,8.0805
Hawaii,1998-08-10,8.098279,8.0818
Hawaii,1998-09-28,8.097604,8.076
Hawaii,1998-10-19,8.097204,8.0818
Hawaii,1998-11-11,8.096421,8.0825
Hawaii,1998-12-09,8.095225,8.0948
Hawaii,1999-01-13,8.09359,8.0895
Hawaii,1999-02-18,8.091917,8.0997
Hawaii,1999-03-17,8.092574,8.135
Hawaii,1999-04-14,8.094319,8.123
Hawaii,1999-05-10,8.094641,8.1
Hawaii,1999-07-14,8.09507,8.0938
Hawaii,1999-08-13,8.095346,8.0759
Hawaii,1999-10-15,8.094457,8.0711
