,YearMonth,Surface_Temp_C,Seawater_pH
0,1988-10,9.194548,8.1097
1,1988-12,-1.5384966,8.1092
2,1989-01,-3.2037466,8.1168
3,1989-02,-3.0248098,8.1316
4,1989-03,2.7911267,8.1218
5,1989-05,13.962135,8.1158
6,1989-06,18.709211,8.1018
7,1989-07,22.076378,8.0991
8,1989-08,20.451694,8.093
9,1989-09,16.232342,8.099
10,1989-10,9.839132,8.0858
11,1989-11,2.4164398,8.1101
12,1990-01,-1.2184741,8.1332
13,1990-02,-1.9653516,8.1229
14,1990-03,4.2221065,8.134
15,1990-04,9.39166,8.1229
16,1990-05,13.738063,8.1167
17,1990-06,19.995775,8.1232
18,1990-07,21.674213,8.1084
19,1990-09,17.300278,8.085
20,1990-12,-3.3944964,8.1212
21,1991-02,0.70492554,8.1256
22,1991-03,3.2735918,8.1263
23,1991-04,9.166041,8.1231
24,1991-05,14.9061985,8.1144
25,1991-06,19.369806,8.1139
26,1991-07,21.679047,8.112
27,1991-08,20.82685,8.0992
28,1991-09,16.485437,8.0943
29,1991-10,10.215822,8.0981
30,1991-12,-1.2190018,8.104
31,1992-01,-2.06289,8.1177
32,1992-02,0.31786585,8.1256
33,1992-03,3.8637214,8.119
34,1992-04,8.704989,8.1099
35,1992-06,18.505232,8.1152
36,1992-07,20.50942,8.0977
37,1992-08,19.4909,8.0956
38,1992-09,15.337638,8.0933
39,1992-10,9.515254,8.087
40,1992-11,1.8933896,8.1052
41,1992-12,-2.8673983,8.1161
42,1993-01,-3.5596874,8.1349
43,1993-02,-2.7092447,8.1325
44,1993-04,8.258363,8.1074
45,1993-05,14.498909,8.1105
46,1993-09,15.491604,8.0802
47,1993-10,9.641138,8.094
48,1994-01,-3.899172,8.1508
49,1994-02,-2.849406,8.1357
50,1994-03,3.472859,8.1204
51,1994-06,20.0648,8.1021
52,1994-07,21.866175,8.0858
53,1994-08,20.992151,8.0883
54,1994-09,16.680653,8.0875
55,1994-10,9.667222,8.088
56,1994-11,2.5723794,8.1048
57,1995-02,-0.067571804,8.1099
58,1995-03,2.8273234,8.1171
59,1995-04,7.9773254,8.1038
60,1995-05,13.473297,8.1149
61,1995-07,21.75562,8.0937
62,1995-08,21.699114,8.0933
63,1995-09,16.785418,8.0886
64,1995-10,10.210629,8.0997
65,1995-11,2.5552044,8.1135
66,1996-01,-4.3535075,8.1074
67,1996-03,1.5641863,8.1122
68,1996-04,7.8934836,8.1066
69,1996-05,14.351651,8.0946
70,1996-06,19.337149,8.0902
71,1996-07,21.534014,8.0889
72,1996-08,20.42612,8.0829
73,1996-10,8.738333,8.088000000000001
74,1996-12,-1.9346024,8.1014
75,1997-01,-4.306124,8.1102
76,1997-02,-0.113055594,8.0856
77,1997-03,3.2547884,8.1138
78,1997-04,6.8239717,8.1155
79,1997-05,13.591148,8.101
80,1997-06,18.851278,8.1058
81,1997-07,21.461868,8.0895
82,1997-08,20.48758,8.089
83,1997-09,17.261648,8.0805
84,1997-12,-2.2601318,8.1083
85,1998-01,-1.8647158,8.1097
86,1998-02,0.5249416,8.1135
87,1998-03,2.714458,8.1044
88,1998-04,8.538229,8.1078
89,1998-05,14.875762,8.105
90,1998-06,18.561512,8.0937
91,1998-07,22.436298,8.0805
92,1998-08,21.146797,8.0818
93,1998-09,18.232075,8.076
94,1998-10,10.229938,8.0818
95,1998-11,4.1935234,8.0825
96,1998-12,-1.2335407,8.0948
97,1999-01,-2.7329884,8.0895
98,1999-02,-0.08814928,8.0997
99,1999-03,2.5582163,8.135
100,1999-04,8.109023,8.123
101,1999-05,13.59526,8.1
102,1999-07,21.914772,8.0938
103,1999-08,21.042606,8.0759
104,1999-10,9.71858,8.0711
105,1999-11,5.036391,8.0824
106,1999-12,-1.5831826,8.0818
107,2000-02,1.7402294,8.0966
108,2000-03,4.652202,8.0944
109,2000-04,8.817104,8.0941
110,2000-05,14.883814,8.0677
111,2000-06,19.134596,8.0831
112,2000-07,21.591005,8.0872
113,2000-08,21.240604,8.0827
114,2000-10,9.945083,8.0678
115,2000-11,1.095084,8.095
116,2000-12,-3.8077514,8.0922
117,2001-01,-2.4637196,8.0929
118,2001-02,-1.20591,8.0881
119,2001-03,2.0553615,8.0894
120,2001-04,9.035197,8.0938
121,2001-05,14.501441,8.0948
122,2001-06,19.263847,8.0984
123,2001-07,21.787539,8.0857
124,2001-08,21.552456,8.0757
125,2001-10,9.515244,8.07825
126,2001-11,4.964757,8.0814
127,2001-12,-1.3685819,8.0925
128,2002-01,-1.2991927,8.0959
129,2002-02,-0.66262716,8.108
130,2002-03,1.7479981,8.1085
131,2002-05,13.588077,8.0811
132,2002-06,20.007774,8.071
133,2002-08,20.872284,8.0706
134,2002-10,9.135126,8.0862
135,2002-11,3.4845028,8.0876
136,2002-12,-0.5919364,8.0937
137,2003-01,-2.277538,8.1025
138,2003-02,-1.5864803,8.104
139,2003-03,2.9528475,8.1016
140,2003-04,8.827653,8.0963
141,2003-05,14.10362,8.0905
142,2003-06,18.757076,8.0824
143,2003-07,22.52848,8.0777
144,2003-08,21.702248,8.0829
145,2003-10,11.473907,8.0873
146,2003-11,3.1130917,8.0884
147,2003-12,-1.2434791,8.1134
148,2004-01,-4.276922,8.0967
149,2004-02,-1.7791827,8.1096
150,2004-03,4.742953,8.1244
151,2004-04,9.318927,8.0988
152,2004-05,15.171243,8.0878
153,2004-06,19.240074,8.0852
154,2004-07,21.691902,8.0701
155,2004-08,20.215052,8.071
156,2004-09,16.546547,8.0705
157,2004-10,10.753618,8.0836
158,2004-11,3.9363785,8.0898
159,2004-12,-1.0421329,8.0992
160,2005-02,0.017281244,8.0963
161,2005-03,3.2683723,8.1065
162,2005-05,14.176364,8.0899
163,2005-06,19.65132,8.0809
164,2005-07,22.70629,8.0664
165,2005-08,21.474274,8.0751
166,2005-09,17.908884,8.0601
167,2005-10,10.566692,8.0777
168,2005-11,3.5106435,8.0843
